"RaumNr","Raum","Oberthema","Zahl","Thema","Vergleichszahl","Vergleichstext","Bemerkungen"
520,"Escher Wyss","Bevölkerung & Gesellschaft",6066,"Wohnbevölkerung (Anzahl Personen)",28,"Anzahl volle Cobratrams","Datenquelle: Bevölkerungsregister (2018)"
610,"Unterstrass","Bevölkerung & Gesellschaft",23394,"Wohnbevölkerung (Anzahl Personen)",106,"Anzahl volle Cobratrams","Datenquelle: Bevölkerungsregister (2018)"
630,"Oberstrass","Bevölkerung & Gesellschaft",10927,"Wohnbevölkerung (Anzahl Personen)",50,"Anzahl volle Cobratrams","Datenquelle: Bevölkerungsregister (2018)"
710,"Fluntern","Bevölkerung & Gesellschaft",8485,"Wohnbevölkerung (Anzahl Personen)",39,"Anzahl volle Cobratrams","Datenquelle: Bevölkerungsregister (2018)"
720,"Hottingen","Bevölkerung & Gesellschaft",11265,"Wohnbevölkerung (Anzahl Personen)",51,"Anzahl volle Cobratrams","Datenquelle: Bevölkerungsregister (2018)"
730,"Hirslanden","Bevölkerung & Gesellschaft",7488,"Wohnbevölkerung (Anzahl Personen)",34,"Anzahl volle Cobratrams","Datenquelle: Bevölkerungsregister (2018)"
740,"Witikon","Bevölkerung & Gesellschaft",10953,"Wohnbevölkerung (Anzahl Personen)",50,"Anzahl volle Cobratrams","Datenquelle: Bevölkerungsregister (2018)"
810,"Seefeld","Bevölkerung & Gesellschaft",5253,"Wohnbevölkerung (Anzahl Personen)",24,"Anzahl volle Cobratrams","Datenquelle: Bevölkerungsregister (2018)"
820,"Mühlebach","Bevölkerung & Gesellschaft",6315,"Wohnbevölkerung (Anzahl Personen)",29,"Anzahl volle Cobratrams","Datenquelle: Bevölkerungsregister (2018)"
830,"Weinegg","Bevölkerung & Gesellschaft",5220,"Wohnbevölkerung (Anzahl Personen)",24,"Anzahl volle Cobratrams","Datenquelle: Bevölkerungsregister (2018)"
910,"Albisrieden","Bevölkerung & Gesellschaft",22304,"Wohnbevölkerung (Anzahl Personen)",101,"Anzahl volle Cobratrams","Datenquelle: Bevölkerungsregister (2018)"
920,"Altstetten","Bevölkerung & Gesellschaft",33461,"Wohnbevölkerung (Anzahl Personen)",152,"Anzahl volle Cobratrams","Datenquelle: Bevölkerungsregister (2018)"
1010,"Höngg","Bevölkerung & Gesellschaft",24020,"Wohnbevölkerung (Anzahl Personen)",109,"Anzahl volle Cobratrams","Datenquelle: Bevölkerungsregister (2018)"
1020,"Wipkingen","Bevölkerung & Gesellschaft",16321,"Wohnbevölkerung (Anzahl Personen)",74,"Anzahl volle Cobratrams","Datenquelle: Bevölkerungsregister (2018)"
1110,"Affoltern","Bevölkerung & Gesellschaft",26562,"Wohnbevölkerung (Anzahl Personen)",121,"Anzahl volle Cobratrams","Datenquelle: Bevölkerungsregister (2018)"
1150,"Oerlikon","Bevölkerung & Gesellschaft",23214,"Wohnbevölkerung (Anzahl Personen)",106,"Anzahl volle Cobratrams","Datenquelle: Bevölkerungsregister (2018)"
1190,"Seebach","Bevölkerung & Gesellschaft",25568,"Wohnbevölkerung (Anzahl Personen)",116,"Anzahl volle Cobratrams","Datenquelle: Bevölkerungsregister (2018)"
1210,"Saatlen","Bevölkerung & Gesellschaft",8582,"Wohnbevölkerung (Anzahl Personen)",39,"Anzahl volle Cobratrams","Datenquelle: Bevölkerungsregister (2018)"
1220,"Schwamendingen-Mitte","Bevölkerung & Gesellschaft",11100,"Wohnbevölkerung (Anzahl Personen)",50,"Anzahl volle Cobratrams","Datenquelle: Bevölkerungsregister (2018)"
1230,"Hirzenbach","Bevölkerung & Gesellschaft",12801,"Wohnbevölkerung (Anzahl Personen)",58,"Anzahl volle Cobratrams","Datenquelle: Bevölkerungsregister (2018)"
0,"Ganze Stadt","Bevölkerung & Gesellschaft",5212,"Neugeborene pro Jahr",261,"Anzahl Schulklassen","Datenquelle: Bevölkerungsregister (2018)"
1,"Kreis 1","Bevölkerung & Gesellschaft",47,"Neugeborene pro Jahr",2,"Anzahl Schulklassen","Datenquelle: Bevölkerungsregister (2018)"
2,"Kreis 2","Bevölkerung & Gesellschaft",505,"Neugeborene pro Jahr",25,"Anzahl Schulklassen","Datenquelle: Bevölkerungsregister (2018)"
3,"Kreis 3","Bevölkerung & Gesellschaft",617,"Neugeborene pro Jahr",31,"Anzahl Schulklassen","Datenquelle: Bevölkerungsregister (2018)"
4,"Kreis 4","Bevölkerung & Gesellschaft",309,"Neugeborene pro Jahr",15,"Anzahl Schulklassen","Datenquelle: Bevölkerungsregister (2018)"
5,"Kreis 5","Bevölkerung & Gesellschaft",188,"Neugeborene pro Jahr",9,"Anzahl Schulklassen","Datenquelle: Bevölkerungsregister (2018)"
6,"Kreis 6","Bevölkerung & Gesellschaft",399,"Neugeborene pro Jahr",20,"Anzahl Schulklassen","Datenquelle: Bevölkerungsregister (2018)"
7,"Kreis 7","Bevölkerung & Gesellschaft",425,"Neugeborene pro Jahr",21,"Anzahl Schulklassen","Datenquelle: Bevölkerungsregister (2018)"
8,"Kreis 8","Bevölkerung & Gesellschaft",210,"Neugeborene pro Jahr",11,"Anzahl Schulklassen","Datenquelle: Bevölkerungsregister (2018)"
9,"Kreis 9","Bevölkerung & Gesellschaft",695,"Neugeborene pro Jahr",35,"Anzahl Schulklassen","Datenquelle: Bevölkerungsregister (2018)"
10,"Kreis 10","Bevölkerung & Gesellschaft",541,"Neugeborene pro Jahr",27,"Anzahl Schulklassen","Datenquelle: Bevölkerungsregister (2018)"
11,"Kreis 11","Bevölkerung & Gesellschaft",900,"Neugeborene pro Jahr",45,"Anzahl Schulklassen","Datenquelle: Bevölkerungsregister (2018)"
12,"Kreis 12","Bevölkerung & Gesellschaft",376,"Neugeborene pro Jahr",19,"Anzahl Schulklassen","Datenquelle: Bevölkerungsregister (2018)"
110,"Rathaus","Bevölkerung & Gesellschaft",31,"Neugeborene pro Jahr",2,"Anzahl Schulklassen","Datenquelle: Bevölkerungsregister (2018)"
120,"Hochschulen","Bevölkerung & Gesellschaft",2,"Neugeborene pro Jahr",0,"Anzahl Schulklassen","Datenquelle: Bevölkerungsregister (2018)"
130,"Lindenhof","Bevölkerung & Gesellschaft",8,"Neugeborene pro Jahr",0,"Anzahl Schulklassen","Datenquelle: Bevölkerungsregister (2018)"
140,"City","Bevölkerung & Gesellschaft",6,"Neugeborene pro Jahr",0,"Anzahl Schulklassen","Datenquelle: Bevölkerungsregister (2018)"
210,"Wollishofen","Bevölkerung & Gesellschaft",263,"Neugeborene pro Jahr",13,"Anzahl Schulklassen","Datenquelle: Bevölkerungsregister (2018)"
230,"Leimbach","Bevölkerung & Gesellschaft",86,"Neugeborene pro Jahr",4,"Anzahl Schulklassen","Datenquelle: Bevölkerungsregister (2018)"
240,"Enge","Bevölkerung & Gesellschaft",156,"Neugeborene pro Jahr",8,"Anzahl Schulklassen","Datenquelle: Bevölkerungsregister (2018)"
310,"Alt-Wiedikon","Bevölkerung & Gesellschaft",230,"Neugeborene pro Jahr",12,"Anzahl Schulklassen","Datenquelle: Bevölkerungsregister (2018)"
330,"Friesenberg","Bevölkerung & Gesellschaft",117,"Neugeborene pro Jahr",6,"Anzahl Schulklassen","Datenquelle: Bevölkerungsregister (2018)"
340,"Sihlfeld","Bevölkerung & Gesellschaft",270,"Neugeborene pro Jahr",14,"Anzahl Schulklassen","Datenquelle: Bevölkerungsregister (2018)"
410,"Werd","Bevölkerung & Gesellschaft",76,"Neugeborene pro Jahr",4,"Anzahl Schulklassen","Datenquelle: Bevölkerungsregister (2018)"
420,"Langstrasse","Bevölkerung & Gesellschaft",110,"Neugeborene pro Jahr",6,"Anzahl Schulklassen","Datenquelle: Bevölkerungsregister (2018)"
440,"Hard","Bevölkerung & Gesellschaft",123,"Neugeborene pro Jahr",6,"Anzahl Schulklassen","Datenquelle: Bevölkerungsregister (2018)"
510,"Gewerbeschule","Bevölkerung & Gesellschaft",95,"Neugeborene pro Jahr",5,"Anzahl Schulklassen","Datenquelle: Bevölkerungsregister (2018)"
520,"Escher Wyss","Bevölkerung & Gesellschaft",93,"Neugeborene pro Jahr",5,"Anzahl Schulklassen","Datenquelle: Bevölkerungsregister (2018)"
610,"Unterstrass","Bevölkerung & Gesellschaft",296,"Neugeborene pro Jahr",15,"Anzahl Schulklassen","Datenquelle: Bevölkerungsregister (2018)"
630,"Oberstrass","Bevölkerung & Gesellschaft",103,"Neugeborene pro Jahr",5,"Anzahl Schulklassen","Datenquelle: Bevölkerungsregister (2018)"
710,"Fluntern","Bevölkerung & Gesellschaft",82,"Neugeborene pro Jahr",4,"Anzahl Schulklassen","Datenquelle: Bevölkerungsregister (2018)"
720,"Hottingen","Bevölkerung & Gesellschaft",147,"Neugeborene pro Jahr",7,"Anzahl Schulklassen","Datenquelle: Bevölkerungsregister (2018)"
730,"Hirslanden","Bevölkerung & Gesellschaft",89,"Neugeborene pro Jahr",4,"Anzahl Schulklassen","Datenquelle: Bevölkerungsregister (2018)"
740,"Witikon","Bevölkerung & Gesellschaft",107,"Neugeborene pro Jahr",5,"Anzahl Schulklassen","Datenquelle: Bevölkerungsregister (2018)"
810,"Seefeld","Bevölkerung & Gesellschaft",76,"Neugeborene pro Jahr",4,"Anzahl Schulklassen","Datenquelle: Bevölkerungsregister (2018)"
820,"Mühlebach","Bevölkerung & Gesellschaft",80,"Neugeborene pro Jahr",4,"Anzahl Schulklassen","Datenquelle: Bevölkerungsregister (2018)"
830,"Weinegg","Bevölkerung & Gesellschaft",54,"Neugeborene pro Jahr",3,"Anzahl Schulklassen","Datenquelle: Bevölkerungsregister (2018)"
910,"Albisrieden","Bevölkerung & Gesellschaft",305,"Neugeborene pro Jahr",15,"Anzahl Schulklassen","Datenquelle: Bevölkerungsregister (2018)"
920,"Altstetten","Bevölkerung & Gesellschaft",390,"Neugeborene pro Jahr",20,"Anzahl Schulklassen","Datenquelle: Bevölkerungsregister (2018)"
1010,"Höngg","Bevölkerung & Gesellschaft",285,"Neugeborene pro Jahr",14,"Anzahl Schulklassen","Datenquelle: Bevölkerungsregister (2018)"
1020,"Wipkingen","Bevölkerung & Gesellschaft",256,"Neugeborene pro Jahr",13,"Anzahl Schulklassen","Datenquelle: Bevölkerungsregister (2018)"
1110,"Affoltern","Bevölkerung & Gesellschaft",318,"Neugeborene pro Jahr",16,"Anzahl Schulklassen","Datenquelle: Bevölkerungsregister (2018)"
1150,"Oerlikon","Bevölkerung & Gesellschaft",280,"Neugeborene pro Jahr",14,"Anzahl Schulklassen","Datenquelle: Bevölkerungsregister (2018)"
1190,"Seebach","Bevölkerung & Gesellschaft",302,"Neugeborene pro Jahr",15,"Anzahl Schulklassen","Datenquelle: Bevölkerungsregister (2018)"
1210,"Saatlen","Bevölkerung & Gesellschaft",99,"Neugeborene pro Jahr",5,"Anzahl Schulklassen","Datenquelle: Bevölkerungsregister (2018)"
1220,"Schwamendingen-Mitte","Bevölkerung & Gesellschaft",107,"Neugeborene pro Jahr",5,"Anzahl Schulklassen","Datenquelle: Bevölkerungsregister (2018)"
1230,"Hirzenbach","Bevölkerung & Gesellschaft",170,"Neugeborene pro Jahr",9,"Anzahl Schulklassen","Datenquelle: Bevölkerungsregister (2018)"
0,"Ganze Stadt","Bevölkerung & Gesellschaft",3235,"Todesfälle pro Jahr",,"Keine Vergleichszahl","Datenquelle: Bevölkerungsregister (2018)"
1,"Kreis 1","Bevölkerung & Gesellschaft",49,"Todesfälle pro Jahr",,"Keine Vergleichszahl","Datenquelle: Bevölkerungsregister (2018)"
2,"Kreis 2","Bevölkerung & Gesellschaft",362,"Todesfälle pro Jahr",,"Keine Vergleichszahl","Datenquelle: Bevölkerungsregister (2018)"
3,"Kreis 3","Bevölkerung & Gesellschaft",374,"Todesfälle pro Jahr",,"Keine Vergleichszahl","Datenquelle: Bevölkerungsregister (2018)"
4,"Kreis 4","Bevölkerung & Gesellschaft",184,"Todesfälle pro Jahr",,"Keine Vergleichszahl","Datenquelle: Bevölkerungsregister (2018)"
5,"Kreis 5","Bevölkerung & Gesellschaft",70,"Todesfälle pro Jahr",,"Keine Vergleichszahl","Datenquelle: Bevölkerungsregister (2018)"
6,"Kreis 6","Bevölkerung & Gesellschaft",202,"Todesfälle pro Jahr",,"Keine Vergleichszahl","Datenquelle: Bevölkerungsregister (2018)"
7,"Kreis 7","Bevölkerung & Gesellschaft",393,"Todesfälle pro Jahr",,"Keine Vergleichszahl","Datenquelle: Bevölkerungsregister (2018)"
8,"Kreis 8","Bevölkerung & Gesellschaft",126,"Todesfälle pro Jahr",,"Keine Vergleichszahl","Datenquelle: Bevölkerungsregister (2018)"
9,"Kreis 9","Bevölkerung & Gesellschaft",452,"Todesfälle pro Jahr",,"Keine Vergleichszahl","Datenquelle: Bevölkerungsregister (2018)"
10,"Kreis 10","Bevölkerung & Gesellschaft",325,"Todesfälle pro Jahr",,"Keine Vergleichszahl","Datenquelle: Bevölkerungsregister (2018)"
11,"Kreis 11","Bevölkerung & Gesellschaft",421,"Todesfälle pro Jahr",,"Keine Vergleichszahl","Datenquelle: Bevölkerungsregister (2018)"
12,"Kreis 12","Bevölkerung & Gesellschaft",277,"Todesfälle pro Jahr",,"Keine Vergleichszahl","Datenquelle: Bevölkerungsregister (2018)"
110,"Rathaus","Bevölkerung & Gesellschaft",15,"Todesfälle pro Jahr",,"Keine Vergleichszahl","Datenquelle: Bevölkerungsregister (2018)"
120,"Hochschulen","Bevölkerung & Gesellschaft",24,"Todesfälle pro Jahr",,"Keine Vergleichszahl","Datenquelle: Bevölkerungsregister (2018)"
130,"Lindenhof","Bevölkerung & Gesellschaft",5,"Todesfälle pro Jahr",,"Keine Vergleichszahl","Datenquelle: Bevölkerungsregister (2018)"
140,"City","Bevölkerung & Gesellschaft",5,"Todesfälle pro Jahr",,"Keine Vergleichszahl","Datenquelle: Bevölkerungsregister (2018)"
210,"Wollishofen","Bevölkerung & Gesellschaft",216,"Todesfälle pro Jahr",,"Keine Vergleichszahl","Datenquelle: Bevölkerungsregister (2018)"
230,"Leimbach","Bevölkerung & Gesellschaft",71,"Todesfälle pro Jahr",,"Keine Vergleichszahl","Datenquelle: Bevölkerungsregister (2018)"
240,"Enge","Bevölkerung & Gesellschaft",75,"Todesfälle pro Jahr",,"Keine Vergleichszahl","Datenquelle: Bevölkerungsregister (2018)"
310,"Alt-Wiedikon","Bevölkerung & Gesellschaft",88,"Todesfälle pro Jahr",,"Keine Vergleichszahl","Datenquelle: Bevölkerungsregister (2018)"
330,"Friesenberg","Bevölkerung & Gesellschaft",114,"Todesfälle pro Jahr",,"Keine Vergleichszahl","Datenquelle: Bevölkerungsregister (2018)"
340,"Sihlfeld","Bevölkerung & Gesellschaft",172,"Todesfälle pro Jahr",,"Keine Vergleichszahl","Datenquelle: Bevölkerungsregister (2018)"
410,"Werd","Bevölkerung & Gesellschaft",38,"Todesfälle pro Jahr",,"Keine Vergleichszahl","Datenquelle: Bevölkerungsregister (2018)"
420,"Langstrasse","Bevölkerung & Gesellschaft",57,"Todesfälle pro Jahr",,"Keine Vergleichszahl","Datenquelle: Bevölkerungsregister (2018)"
440,"Hard","Bevölkerung & Gesellschaft",89,"Todesfälle pro Jahr",,"Keine Vergleichszahl","Datenquelle: Bevölkerungsregister (2018)"
510,"Gewerbeschule","Bevölkerung & Gesellschaft",62,"Todesfälle pro Jahr",,"Keine Vergleichszahl","Datenquelle: Bevölkerungsregister (2018)"
520,"Escher Wyss","Bevölkerung & Gesellschaft",8,"Todesfälle pro Jahr",,"Keine Vergleichszahl","Datenquelle: Bevölkerungsregister (2018)"
610,"Unterstrass","Bevölkerung & Gesellschaft",117,"Todesfälle pro Jahr",,"Keine Vergleichszahl","Datenquelle: Bevölkerungsregister (2018)"
630,"Oberstrass","Bevölkerung & Gesellschaft",85,"Todesfälle pro Jahr",,"Keine Vergleichszahl","Datenquelle: Bevölkerungsregister (2018)"
710,"Fluntern","Bevölkerung & Gesellschaft",62,"Todesfälle pro Jahr",,"Keine Vergleichszahl","Datenquelle: Bevölkerungsregister (2018)"
720,"Hottingen","Bevölkerung & Gesellschaft",83,"Todesfälle pro Jahr",,"Keine Vergleichszahl","Datenquelle: Bevölkerungsregister (2018)"
730,"Hirslanden","Bevölkerung & Gesellschaft",98,"Todesfälle pro Jahr",,"Keine Vergleichszahl","Datenquelle: Bevölkerungsregister (2018)"
740,"Witikon","Bevölkerung & Gesellschaft",150,"Todesfälle pro Jahr",,"Keine Vergleichszahl","Datenquelle: Bevölkerungsregister (2018)"
810,"Seefeld","Bevölkerung & Gesellschaft",30,"Todesfälle pro Jahr",,"Keine Vergleichszahl","Datenquelle: Bevölkerungsregister (2018)"
820,"Mühlebach","Bevölkerung & Gesellschaft",38,"Todesfälle pro Jahr",,"Keine Vergleichszahl","Datenquelle: Bevölkerungsregister (2018)"
830,"Weinegg","Bevölkerung & Gesellschaft",58,"Todesfälle pro Jahr",,"Keine Vergleichszahl","Datenquelle: Bevölkerungsregister (2018)"
910,"Albisrieden","Bevölkerung & Gesellschaft",218,"Todesfälle pro Jahr",,"Keine Vergleichszahl","Datenquelle: Bevölkerungsregister (2018)"
920,"Altstetten","Bevölkerung & Gesellschaft",234,"Todesfälle pro Jahr",,"Keine Vergleichszahl","Datenquelle: Bevölkerungsregister (2018)"
1010,"Höngg","Bevölkerung & Gesellschaft",215,"Todesfälle pro Jahr",,"Keine Vergleichszahl","Datenquelle: Bevölkerungsregister (2018)"
1020,"Wipkingen","Bevölkerung & Gesellschaft",110,"Todesfälle pro Jahr",,"Keine Vergleichszahl","Datenquelle: Bevölkerungsregister (2018)"
1110,"Affoltern","Bevölkerung & Gesellschaft",129,"Todesfälle pro Jahr",,"Keine Vergleichszahl","Datenquelle: Bevölkerungsregister (2018)"
1150,"Oerlikon","Bevölkerung & Gesellschaft",173,"Todesfälle pro Jahr",,"Keine Vergleichszahl","Datenquelle: Bevölkerungsregister (2018)"
1190,"Seebach","Bevölkerung & Gesellschaft",119,"Todesfälle pro Jahr",,"Keine Vergleichszahl","Datenquelle: Bevölkerungsregister (2018)"
1210,"Saatlen","Bevölkerung & Gesellschaft",38,"Todesfälle pro Jahr",,"Keine Vergleichszahl","Datenquelle: Bevölkerungsregister (2018)"
1220,"Schwamendingen-Mitte","Bevölkerung & Gesellschaft",85,"Todesfälle pro Jahr",,"Keine Vergleichszahl","Datenquelle: Bevölkerungsregister (2018)"
1230,"Hirzenbach","Bevölkerung & Gesellschaft",154,"Todesfälle pro Jahr",,"Keine Vergleichszahl","Datenquelle: Bevölkerungsregister (2018)"
0,"Ganze Stadt","Bevölkerung & Gesellschaft",42998,"Zuziehende (Anzahl Personen pro Jahr)",,"Keine Vergleichszahl","Datenquelle: Bevölkerungsregister (2018), Zuziehende in bestimmtes Gebiet (Stadt, Kreis oder Quartier)"
1,"Kreis 1","Bevölkerung & Gesellschaft",1862,"Zuziehende (Anzahl Personen pro Jahr)",,"Keine Vergleichszahl","Datenquelle: Bevölkerungsregister (2018), Zuziehende in bestimmtes Gebiet (Stadt, Kreis oder Quartier)"
2,"Kreis 2","Bevölkerung & Gesellschaft",6024,"Zuziehende (Anzahl Personen pro Jahr)",,"Keine Vergleichszahl","Datenquelle: Bevölkerungsregister (2018), Zuziehende in bestimmtes Gebiet (Stadt, Kreis oder Quartier)"
3,"Kreis 3","Bevölkerung & Gesellschaft",7907,"Zuziehende (Anzahl Personen pro Jahr)",,"Keine Vergleichszahl","Datenquelle: Bevölkerungsregister (2018), Zuziehende in bestimmtes Gebiet (Stadt, Kreis oder Quartier)"
4,"Kreis 4","Bevölkerung & Gesellschaft",6391,"Zuziehende (Anzahl Personen pro Jahr)",,"Keine Vergleichszahl","Datenquelle: Bevölkerungsregister (2018), Zuziehende in bestimmtes Gebiet (Stadt, Kreis oder Quartier)"
5,"Kreis 5","Bevölkerung & Gesellschaft",3057,"Zuziehende (Anzahl Personen pro Jahr)",,"Keine Vergleichszahl","Datenquelle: Bevölkerungsregister (2018), Zuziehende in bestimmtes Gebiet (Stadt, Kreis oder Quartier)"
6,"Kreis 6","Bevölkerung & Gesellschaft",6654,"Zuziehende (Anzahl Personen pro Jahr)",,"Keine Vergleichszahl","Datenquelle: Bevölkerungsregister (2018), Zuziehende in bestimmtes Gebiet (Stadt, Kreis oder Quartier)"
7,"Kreis 7","Bevölkerung & Gesellschaft",6325,"Zuziehende (Anzahl Personen pro Jahr)",,"Keine Vergleichszahl","Datenquelle: Bevölkerungsregister (2018), Zuziehende in bestimmtes Gebiet (Stadt, Kreis oder Quartier)"
8,"Kreis 8","Bevölkerung & Gesellschaft",3494,"Zuziehende (Anzahl Personen pro Jahr)",,"Keine Vergleichszahl","Datenquelle: Bevölkerungsregister (2018), Zuziehende in bestimmtes Gebiet (Stadt, Kreis oder Quartier)"
9,"Kreis 9","Bevölkerung & Gesellschaft",8469,"Zuziehende (Anzahl Personen pro Jahr)",,"Keine Vergleichszahl","Datenquelle: Bevölkerungsregister (2018), Zuziehende in bestimmtes Gebiet (Stadt, Kreis oder Quartier)"
10,"Kreis 10","Bevölkerung & Gesellschaft",5540,"Zuziehende (Anzahl Personen pro Jahr)",,"Keine Vergleichszahl","Datenquelle: Bevölkerungsregister (2018), Zuziehende in bestimmtes Gebiet (Stadt, Kreis oder Quartier)"
11,"Kreis 11","Bevölkerung & Gesellschaft",11699,"Zuziehende (Anzahl Personen pro Jahr)",,"Keine Vergleichszahl","Datenquelle: Bevölkerungsregister (2018), Zuziehende in bestimmtes Gebiet (Stadt, Kreis oder Quartier)"
12,"Kreis 12","Bevölkerung & Gesellschaft",4608,"Zuziehende (Anzahl Personen pro Jahr)",,"Keine Vergleichszahl","Datenquelle: Bevölkerungsregister (2018), Zuziehende in bestimmtes Gebiet (Stadt, Kreis oder Quartier)"
110,"Rathaus","Bevölkerung & Gesellschaft",801,"Zuziehende (Anzahl Personen pro Jahr)",,"Keine Vergleichszahl","Datenquelle: Bevölkerungsregister (2018), Zuziehende in bestimmtes Gebiet (Stadt, Kreis oder Quartier)"
120,"Hochschulen","Bevölkerung & Gesellschaft",290,"Zuziehende (Anzahl Personen pro Jahr)",,"Keine Vergleichszahl","Datenquelle: Bevölkerungsregister (2018), Zuziehende in bestimmtes Gebiet (Stadt, Kreis oder Quartier)"
130,"Lindenhof","Bevölkerung & Gesellschaft",476,"Zuziehende (Anzahl Personen pro Jahr)",,"Keine Vergleichszahl","Datenquelle: Bevölkerungsregister (2018), Zuziehende in bestimmtes Gebiet (Stadt, Kreis oder Quartier)"
140,"City","Bevölkerung & Gesellschaft",342,"Zuziehende (Anzahl Personen pro Jahr)",,"Keine Vergleichszahl","Datenquelle: Bevölkerungsregister (2018), Zuziehende in bestimmtes Gebiet (Stadt, Kreis oder Quartier)"
210,"Wollishofen","Bevölkerung & Gesellschaft",3466,"Zuziehende (Anzahl Personen pro Jahr)",,"Keine Vergleichszahl","Datenquelle: Bevölkerungsregister (2018), Zuziehende in bestimmtes Gebiet (Stadt, Kreis oder Quartier)"
230,"Leimbach","Bevölkerung & Gesellschaft",853,"Zuziehende (Anzahl Personen pro Jahr)",,"Keine Vergleichszahl","Datenquelle: Bevölkerungsregister (2018), Zuziehende in bestimmtes Gebiet (Stadt, Kreis oder Quartier)"
240,"Enge","Bevölkerung & Gesellschaft",2056,"Zuziehende (Anzahl Personen pro Jahr)",,"Keine Vergleichszahl","Datenquelle: Bevölkerungsregister (2018), Zuziehende in bestimmtes Gebiet (Stadt, Kreis oder Quartier)"
310,"Alt-Wiedikon","Bevölkerung & Gesellschaft",3764,"Zuziehende (Anzahl Personen pro Jahr)",,"Keine Vergleichszahl","Datenquelle: Bevölkerungsregister (2018), Zuziehende in bestimmtes Gebiet (Stadt, Kreis oder Quartier)"
330,"Friesenberg","Bevölkerung & Gesellschaft",940,"Zuziehende (Anzahl Personen pro Jahr)",,"Keine Vergleichszahl","Datenquelle: Bevölkerungsregister (2018), Zuziehende in bestimmtes Gebiet (Stadt, Kreis oder Quartier)"
340,"Sihlfeld","Bevölkerung & Gesellschaft",3895,"Zuziehende (Anzahl Personen pro Jahr)",,"Keine Vergleichszahl","Datenquelle: Bevölkerungsregister (2018), Zuziehende in bestimmtes Gebiet (Stadt, Kreis oder Quartier)"
410,"Werd","Bevölkerung & Gesellschaft",1112,"Zuziehende (Anzahl Personen pro Jahr)",,"Keine Vergleichszahl","Datenquelle: Bevölkerungsregister (2018), Zuziehende in bestimmtes Gebiet (Stadt, Kreis oder Quartier)"
420,"Langstrasse","Bevölkerung & Gesellschaft",3066,"Zuziehende (Anzahl Personen pro Jahr)",,"Keine Vergleichszahl","Datenquelle: Bevölkerungsregister (2018), Zuziehende in bestimmtes Gebiet (Stadt, Kreis oder Quartier)"
440,"Hard","Bevölkerung & Gesellschaft",2669,"Zuziehende (Anzahl Personen pro Jahr)",,"Keine Vergleichszahl","Datenquelle: Bevölkerungsregister (2018), Zuziehende in bestimmtes Gebiet (Stadt, Kreis oder Quartier)"
510,"Gewerbeschule","Bevölkerung & Gesellschaft",2040,"Zuziehende (Anzahl Personen pro Jahr)",,"Keine Vergleichszahl","Datenquelle: Bevölkerungsregister (2018), Zuziehende in bestimmtes Gebiet (Stadt, Kreis oder Quartier)"
520,"Escher Wyss","Bevölkerung & Gesellschaft",1110,"Zuziehende (Anzahl Personen pro Jahr)",,"Keine Vergleichszahl","Datenquelle: Bevölkerungsregister (2018), Zuziehende in bestimmtes Gebiet (Stadt, Kreis oder Quartier)"
610,"Unterstrass","Bevölkerung & Gesellschaft",4621,"Zuziehende (Anzahl Personen pro Jahr)",,"Keine Vergleichszahl","Datenquelle: Bevölkerungsregister (2018), Zuziehende in bestimmtes Gebiet (Stadt, Kreis oder Quartier)"
630,"Oberstrass","Bevölkerung & Gesellschaft",2333,"Zuziehende (Anzahl Personen pro Jahr)",,"Keine Vergleichszahl","Datenquelle: Bevölkerungsregister (2018), Zuziehende in bestimmtes Gebiet (Stadt, Kreis oder Quartier)"
710,"Fluntern","Bevölkerung & Gesellschaft",1805,"Zuziehende (Anzahl Personen pro Jahr)",,"Keine Vergleichszahl","Datenquelle: Bevölkerungsregister (2018), Zuziehende in bestimmtes Gebiet (Stadt, Kreis oder Quartier)"
720,"Hottingen","Bevölkerung & Gesellschaft",2196,"Zuziehende (Anzahl Personen pro Jahr)",,"Keine Vergleichszahl","Datenquelle: Bevölkerungsregister (2018), Zuziehende in bestimmtes Gebiet (Stadt, Kreis oder Quartier)"
730,"Hirslanden","Bevölkerung & Gesellschaft",1450,"Zuziehende (Anzahl Personen pro Jahr)",,"Keine Vergleichszahl","Datenquelle: Bevölkerungsregister (2018), Zuziehende in bestimmtes Gebiet (Stadt, Kreis oder Quartier)"
740,"Witikon","Bevölkerung & Gesellschaft",1484,"Zuziehende (Anzahl Personen pro Jahr)",,"Keine Vergleichszahl","Datenquelle: Bevölkerungsregister (2018), Zuziehende in bestimmtes Gebiet (Stadt, Kreis oder Quartier)"
810,"Seefeld","Bevölkerung & Gesellschaft",1345,"Zuziehende (Anzahl Personen pro Jahr)",,"Keine Vergleichszahl","Datenquelle: Bevölkerungsregister (2018), Zuziehende in bestimmtes Gebiet (Stadt, Kreis oder Quartier)"
820,"Mühlebach","Bevölkerung & Gesellschaft",1371,"Zuziehende (Anzahl Personen pro Jahr)",,"Keine Vergleichszahl","Datenquelle: Bevölkerungsregister (2018), Zuziehende in bestimmtes Gebiet (Stadt, Kreis oder Quartier)"
830,"Weinegg","Bevölkerung & Gesellschaft",1096,"Zuziehende (Anzahl Personen pro Jahr)",,"Keine Vergleichszahl","Datenquelle: Bevölkerungsregister (2018), Zuziehende in bestimmtes Gebiet (Stadt, Kreis oder Quartier)"
